,A,B,C
Alismatales,102,6,0
Amborellales,1,0,1
Apiales,139,0,0
Aquifoliales,306,1,1
Arecales,778,0,2
Asparagales,128,1,1
Asterales,570,3,0
Austrobaileyales,20,0,0
Berberidopsidales,1,0,0
Boraginales,20,0,0
Brassicales,56,0,1
Buxales,2,0,0
Canellales,5,0,0
Caryophyllales,389,15,7
Celastrales,173,0,0
Chloranthales,53,0,0
Commelinales,10,0,0
Cornales,29,0,1
Cucurbitales,466,8,0
Dilleniales,15,0,0
Dioscoreales,375,2,5
Dipsacales,10,0,0
Ericales,1159,0,5
Fabales,33,0,0
Fagales,94,0,2
Garryales,17,1,1
Gentianales,602,0,1
Gunnerales,12,0,0
Huerteales,1,0,0
Lamiales,100,0,24
Laurales,906,0,1
Liliales,236,0,0
Magnoliales,411,0,0
Malpighiales,3477,4,16
Malvales,132,0,0
Myrtales,26,0,0
Oxalidales,25,0,1
Pandanales,782,0,0
Paracryphiales,15,0,0
Picramniales,32,0,0
Piperales,308,0,0
Poales,560,0,0
Proteales,84,0,0
Ranunculales,600,0,0
Rosales,1064,5,8
Santalales,308,0,0
Sapindales,808,0,1
Saxifragales,85,0,0
Solanales,23,0,2
Vitales,118,0,7
Zygophyllales,1,0,0
Acorales,0,0,0
Bruniales,0,0,0
Ceratophyllales,0,0,0
Crossosomatales,0,0,0
Escalloniales,0,0,0
Geraniales,0,0,0
Icacinales,0,0,0
Metteniusales,0,0,0
Nymphaeales,0,0,0
Petrosaviales,0,0,0
Trochodendrales,0,0,0
Vahliales,0,0,0
Zingiberales,0,0,0
